Id,SalePrice
1461,122427.08024691358
1462,152786.01401401404
1463,183823.84884884884
1464,187115.2671242671
1465,183994.90791180782
1466,181694.67753467752
1467,167893.94594594592
1468,176024.41691691687
1469,173646.95613470618
1470,129989.85785785785
1471,198495.61633776635
1472,89942.2705562706
1473,91658.55135135136
1474,150668.29686829692
1475,129355.29897754897
1476,358547.5130523381
1477,219964.67906477905
1478,322944.2374374374
1479,284051.8822751322
1480,416644.06243386236
1481,331135.774974975
1482,206213.93901758897
1483,181376.3904904905
1484,170845.45732279893
1485,178150.7781638781
1486,212529.4467324468
1487,317036.4473115973
1488,248395.2268268268
1489,201607.95159445162
1490,247520.87230087226
1491,201834.80362505355
1492,103242.53360503362
1493,182165.58215358213
1494,282964.6289289288
1495,275549.6359502359
1496,252795.06098956094
1497,196715.86515086525
1498,160988.8803946804
1499,157365.69055484055
1500,163370.0503646504
1501,176153.2621121121
1502,157644.69138424133
1503,270348.04374374374
1504,242835.48231088225
1505,249541.31765336765
1506,176345.15007865007
1507,245802.23151723144
1508,193799.91565136565
1509,159879.1113971114
1510,158788.62412412412
1511,153184.00300300305
1512,172282.51418084753
1513,144095.60268840272
1514,136988.88038038037
1515,221018.78087373087
1516,153992.45208065212
1517,156168.0808951809
1518,137641.1743171743
1519,218769.09166309162
1520,134468.00995995998
1521,140781.27104247102
1522,176203.78778778773
1523,116271.62239382241
1524,107854.12484627486
1525,111932.05863005867
1526,124416.77713427713
1527,98534.24492349493
1528,119915.71768911766
1529,140093.93965393965
1530,172670.16851136848
1531,175435.1152581153
1532,102421.84327184326
1533,141386.11879736878
1534,119075.98971828977
1535,155982.49485199485
1536,111198.79879879882
1537,98677.35473568807
1538,148387.0165165166
1539,224668.07972257977
1540,122449.33383383382
1541,154632.2036036036
1542,141170.1736736737
1543,175695.13306163307
1544,89777.94794794795
1545,92462.39739739742
1546,126520.26931931928
1547,118526.0871585872
1548,123274.31126841124
1549,108875.68593593595
1550,130449.64826731489
1551,130031.38352638355
1552,139188.54304304294
1553,136090.91729586732
1554,109057.53961103963
1555,167146.78070928075
1556,106665.57857857857
1557,107462.68275418274
1558,99413.89343629344
1559,121513.91579913243
1560,140721.1350112017
1561,137064.00150150145
1562,131630.82105677106
1563,122706.0901615902
1564,174821.60274560278
1565,159177.07528957524
1566,212700.22499165835
1567,93038.46074646074
1568,233636.96512226513
1569,136881.9925639925
1570,141819.90940940942
1571,138587.5333190334
1572,149766.14914914913
1573,235325.56798226808
1574,140488.4275346775
1575,277680.5113399113
1576,243292.87415987413
1577,187399.91653081655
1578,141351.58406978415
1579,150682.53539253536
1580,191424.07407407404
